Timestamp;TSP [ug/m3];PM10 [ug/m3];PM4 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];PMcoarse [ug/m3];Inhalable [ug/m3];Thoracic [ug/m3];Respirable [ug/m3];pm10-IAQ [ug/m3];pm2,5-IAQ [ug/m3];pm1-IAQ [ug/m3]
10-01-2023 7:53;111;30;19;9;4;21;73;38;16;31;7;3
10-01-2023 7:53;29;28;20;9;4;19;25;24;16;25;7;3
10-01-2023 7:54;39;21;14;8;4;13;31;24;11;21;6;3
10-01-2023 7:54;27;27;19;10;4;16;25;24;15;25;7;3
10-01-2023 7:54;39;37;22;9;4;27;39;37;20;39;7;3
10-01-2023 7:54;23;23;19;10;4;13;20;20;15;20;7;3
10-01-2023 7:54;34;32;20;10;3;22;33;32;17;33;8;3
10-01-2023 7:54;36;32;16;7;4;24;35;32;14;34;6;3
10-01-2023 7:54;25;25;20;11;4;14;21;20;15;21;8;3
10-01-2023 7:54;78;29;14;8;3;21;62;41;13;34;6;3
